"","AGE","CALC_METHODOLOGY","CANCER_SITE","DEATH_CAUSE","DISEASE","FREQ","GESTATION_THRESHOLD","HEALTH_STATUS","MEASURE","OBS_STATUS","OBS_STATUS2","ObsValue","REF_AREA","SEX","SOCIO_ECON_STATUS","TIME_PERIOD","UNIT_MEASURE"
"160","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"70","GBR","_T","_Z","2018","PT_POP_AGE"
"161","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"57","GBR","M","_Z","2018","PT_POP_AGE"
"162","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"86","GBR","F","_Z","2018","PT_POP_AGE"
"163","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"69.8","GBR","M","_Z","2018","PT_POP_AGE"
"164","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"87.5","GBR","_T","_Z","2018","PT_POP_AGE"
"165","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"88.9","GBR","M","_Z","2018","PT_POP_AGE"
"166","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"57.6","GBR","_T","_Z","2018","PT_POP_AGE"
"167","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"70.1","GBR","F","_Z","2018","PT_POP_AGE"
"168","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"58.1","GBR","F","_Z","2018","PT_POP_AGE"
"169","Y_GE15","CRUDE","_Z","_Z","_Z","A","_Z","B","PHS",NA,NA,"7","GBR","M","_Z","2005","PT_POP_AGE"
"170","Y_GE15","CRUDE","_Z","_Z","_Z","A","_Z","F","PHS",NA,NA,"18","GBR","_T","_Z","2005","PT_POP_AGE"
"171","Y_GE15","CRUDE","_Z","_Z","_Z","A","_Z","F","PHS",NA,NA,"19","GBR","F","_Z","2005","PT_POP_AGE"
"172","Y_GE15","CRUDE","_Z","_Z","_Z","A","_Z","B","PHS",NA,NA,"7.3","GBR","F","_Z","2005","PT_POP_AGE"
"173","Y_GE15","CRUDE","_Z","_Z","_Z","A","_Z","B","PHS",NA,NA,"7.2","GBR","_T","_Z","2005","PT_POP_AGE"
"174","Y_GE15","CRUDE","_Z","_Z","_Z","A","_Z","F","PHS",NA,NA,"16.9","GBR","M","_Z","2005","PT_POP_AGE"
"175","Y_GE15","CRUDE","_Z","_Z","_Z","A","_Z","F","PHS",NA,NA,"16.2","GBR","M","_Z","2006","PT_POP_AGE"
"176","Y_GE15","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"75.3","GBR","F","_Z","2006","PT_POP_AGE"
"177","Y_GE15","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"78.1","GBR","M","_Z","2006","PT_POP_AGE"
