"","AGE","CALC_METHODOLOGY","CANCER_SITE","DEATH_CAUSE","DISEASE","FREQ","GESTATION_THRESHOLD","HEALTH_STATUS","MEASURE","OBS_STATUS","OBS_STATUS2","ObsValue","REF_AREA","SEX","SOCIO_ECON_STATUS","TIME_PERIOD","UNIT_MEASURE"
"121","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"85.6","CHE","F","_Z","2017","Y"
"122","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"81.6","CHE","M","_Z","2017","Y"
"123","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"83.7","CHE","_T","_Z","2017","Y"
"124","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"83.8","CHE","_T","_Z","2018","Y"
"125","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"81.9","CHE","M","_Z","2018","Y"
"126","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"85.7","CHE","F","_Z","2018","Y"
"127","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"85.8","CHE","F","_Z","2019","Y"
"128","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"82.1","CHE","M","_Z","2019","Y"
"129","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"84","CHE","_T","_Z","2019","Y"
"130","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"83.1","CHE","_T","_Z","2020","Y"
"131","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"81","CHE","M","_Z","2020","Y"
"132","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"85.1","CHE","F","_Z","2020","Y"
"133","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"85.8","CHE","F","_Z","2021","Y"
"134","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"81.8","CHE","M","_Z","2021","Y"
"135","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"83.9","CHE","_T","_Z","2021","Y"
"136","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"83.7","CHE","_T","_Z","2022","Y"
"137","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"81.8","CHE","M","_Z","2022","Y"
"138","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"85.5","CHE","F","_Z","2022","Y"
"139","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"76.8","USA","_T","_Z","2000","Y"
"140","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"74.1","USA","M","_Z","2000","Y"
"141","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"79.3","USA","F","_Z","2000","Y"
"142","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"79.5","USA","F","_Z","2001","Y"
"143","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"74.3","USA","M","_Z","2001","Y"
"144","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"77","USA","_T","_Z","2001","Y"
"145","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"77","USA","_T","_Z","2002","Y"
"146","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"74.4","USA","M","_Z","2002","Y"
"147","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"79.6","USA","F","_Z","2002","Y"
"148","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"79.7","USA","F","_Z","2003","Y"
"149","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"74.5","USA","M","_Z","2003","Y"
"150","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"77.2","USA","_T","_Z","2003","Y"
"151","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"77.6","USA","_T","_Z","2004","Y"
"152","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"75","USA","M","_Z","2004","Y"
"153","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"80.1","USA","F","_Z","2004","Y"
"154","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"80.1","USA","F","_Z","2005","Y"
"155","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"75","USA","M","_Z","2005","Y"
"156","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"77.6","USA","_T","_Z","2005","Y"
"157","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"77.8","USA","_T","_Z","2006","Y"
